"","x"
"1",2
"2",4
"3",5
"4",13
"5",15
"6",32
"7",38
"8",41
"9",46
"10",47
"11",48
"12",49
"13",56
"14",59
"15",65
"16",69
"17",70
"18",74
"19",78
"20",102
"21",103
"22",104
"23",105
"24",106
"25",107
"26",108
"27",109
"28",110
"29",111
"30",112
"31",113
"32",114
"33",115
"34",116
"35",143
"36",155
"37",167
"38",170
"39",175
"40",182
"41",189
"42",196
"43",200
"44",203
"45",215
"46",216
"47",232
"48",234
"49",242
"50",252
"51",257
"52",267
"53",271
"54",272
"55",274
"56",281
"57",306
"58",310
"59",314
"60",321
"61",340
"62",341
"63",350
"64",354
"65",373
"66",381
"67",398
"68",399
"69",409
"70",413
"71",416
"72",422
"73",423
"74",430
"75",435
"76",436
"77",437
"78",441
"79",443
"80",447
"81",450
"82",461
"83",466
"84",470
"85",473
"86",474
"87",480
"88",539
"89",548
"90",554
"91",572
"92",575
"93",593
"94",598
"95",607
"96",608
"97",610
"98",612
"99",631
"100",632
"101",653
"102",658
"103",660
"104",661
"105",670
"106",672
"107",702
"108",715
"109",717
"110",720
"111",728
"112",732
"113",743
"114",744
"115",751
"116",752
"117",753
"118",759
"119",769
"120",770
"121",784
"122",789
"123",791
"124",796
"125",810
"126",813
"127",817
"128",818
"129",819
"130",820
"131",836
"132",853
"133",895
"134",921
"135",923
"136",930
"137",940
"138",941
"139",943
"140",963
"141",977
"142",985
"143",992
"144",993
"145",1001
"146",1004
"147",1012
"148",1029
"149",1034
"150",1036
"151",1048
"152",1053
"153",1054
"154",1070
"155",1071
"156",1072
"157",1074
"158",1076
"159",1081
"160",1082
"161",1083
"162",1084
"163",1085
"164",1087
"165",1091
"166",1092
"167",1093
"168",1094
"169",1097
"170",1101
"171",1121
"172",1126
"173",1127
"174",1134
"175",1142
"176",1149
"177",1158
"178",1159
"179",1160
"180",1165
"181",1166
"182",1172
"183",1178
"184",1182
"185",1189
"186",1192
"187",1200
"188",1214
"189",1235
"190",1238
"191",1239
"192",1242
"193",1243
"194",1246
"195",1247
"196",1255
"197",1265
"198",1291
"199",1293
"200",1295
"201",1312
"202",1320
"203",1327
"204",1339
"205",1341
"206",1343
"207",1355
"208",1358
"209",1365
"210",1375
"211",1376
"212",1377
"213",1378
"214",1379
"215",1380
"216",1381
"217",1382
"218",1383
"219",1384
"220",1385
"221",1409
"222",1412
"223",1444
"224",1445
"225",1446
"226",1457
"227",1463
"228",1466
"229",1474
"230",1481
"231",1493
"232",1501
"233",1518
"234",1519
"235",1520
"236",1531
"237",1565
"238",1566
"239",1567
"240",1578
"241",1579
"242",1585
"243",1588
"244",1619
"245",1630
"246",1637
"247",1647
"248",1654
"249",1675
"250",1679
"251",1685
"252",1687
"253",1688
"254",1710
"255",1711
"256",1714
"257",1718
"258",1727
"259",1742
"260",1757
"261",1761
"262",1762
"263",1767
"264",1777
"265",1783
"266",1784
"267",1785
"268",1793
"269",1799
"270",1800
"271",1801
"272",1802
"273",1805
"274",1808
"275",1815
"276",1824
"277",1831
"278",1867
"279",1875
"280",1878
"281",1879
"282",1882
"283",1891
"284",1892
"285",1899
"286",1902
"287",1923
"288",1924
"289",1933
"290",1938
"291",1941
"292",1944
"293",1947
"294",1964
"295",1966
"296",1970
"297",1972
"298",1982
"299",1988
"300",1989
"301",1993
"302",2007
"303",2012
"304",2014
"305",2017
"306",2019
"307",2037
"308",2061
"309",2069
"310",2073
"311",2093
"312",2113
"313",2115
"314",2116
"315",2117
"316",2118
"317",2123
"318",2126
"319",2132
"320",2134
"321",2142
"322",2156
"323",2163
"324",2181
"325",2191
"326",2199
"327",2201
"328",2203
"329",2208
"330",2213
"331",2219
"332",2227
"333",2233
"334",2234
"335",2241
"336",2246
"337",2247
"338",2248
"339",2249
"340",2256
"341",2257
"342",2271
"343",2287
"344",2296
"345",2298
"346",2324
"347",2327
"348",2332
"349",2336
"350",2342
"351",2343
"352",2349
"353",2357
"354",2366
"355",2370
"356",2386
"357",2387
"358",2389
"359",2391
"360",2392
"361",2394
"362",2397
"363",2398
"364",2405
"365",2414
"366",2423
"367",2424
"368",2425
"369",2426
"370",2427
"371",2428
"372",2429
"373",2439
"374",2441
"375",2453
"376",2482
"377",2487
"378",2498
"379",2504
"380",2515
"381",2519
"382",2531
"383",2532
"384",2537
"385",2539
"386",2540
"387",2553
"388",2554
"389",2562
"390",2582
"391",2592
"392",2593
"393",2598
"394",2601
"395",2607
"396",2614
"397",2617
"398",2633
"399",2640
"400",2651
"401",2671
"402",2672
"403",2679
"404",2686
"405",2687
"406",2688
"407",2689
"408",2694
"409",2697
"410",2700
"411",2702
"412",2716
"413",2717
"414",2722
"415",2739
"416",2745
"417",2749
"418",2766
"419",2767
"420",2777
"421",2788
"422",2791
"423",2795
"424",2796
"425",2803
"426",2805
"427",2806
"428",2808
"429",2816
"430",2820
"431",2828
"432",2832
"433",2833
"434",2834
"435",2837
"436",2845
"437",2847
"438",2851
"439",2852
"440",2881
"441",2885
"442",2912
"443",2936
"444",2946
"445",2947
"446",2950
"447",2954
"448",2972
"449",2979
"450",2986
"451",2989
"452",2990
"453",2994
"454",3006
"455",3015
"456",3016
"457",3020
"458",3035
"459",3036
"460",3039
"461",3044
"462",3045
"463",3048
"464",3058
"465",3059
"466",3061
"467",3064
"468",3085
"469",3088
"470",3093
"471",3094
"472",3107
"473",3112
"474",3114
"475",3121
"476",3126
"477",3144
"478",3152
"479",3157
"480",3162
"481",3166
"482",3178
"483",3186
"484",3188
"485",3196
"486",3202
"487",3206
"488",3207
"489",3216
"490",3221
"491",3223
"492",3224
"493",3227
"494",3232
"495",3240
"496",3242
"497",3246
"498",3247
"499",3266
"500",3275
"501",3283
"502",3289
"503",3327
"504",3332
"505",3347
"506",3355
"507",3358
"508",3359
"509",3360
"510",3371
"511",3373
"512",3396
"513",3400
"514",3419
"515",3425
"516",3433
"517",3435
"518",3440
"519",3446
"520",3447
"521",3453
"522",3458
"523",3464
"524",3470
"525",3476
"526",3478
"527",3479
"528",3482
"529",3486
"530",3488
"531",3492
"532",3506
"533",3513
"534",3518
"535",3540
"536",3542
"537",3544
"538",3562
"539",3569
"540",3588
"541",3599
"542",3609
"543",3622
"544",3623
"545",3635
"546",3646
"547",3648
"548",3650
"549",3651
"550",3657
"551",3666
"552",3669
"553",3671
"554",3672
"555",3676
"556",3693
"557",3696
"558",3697
"559",3700
"560",3701
"561",3710
"562",3719
"563",3722
"564",3723
"565",3732
"566",3739
"567",3743
"568",3749
"569",3755
"570",3775
"571",3776
"572",3777
"573",3787
"574",3794
"575",3795
"576",3796
"577",3797
"578",3798
"579",3805
"580",3806
"581",3808
"582",3809
"583",3818
"584",3830
"585",3831
"586",3832
"587",3833
"588",3834
"589",3835
"590",3844
"591",3858
"592",3859
"593",3861
"594",3862
"595",3863
"596",3868
"597",3870
"598",3871
"599",3872
"600",3878
"601",3891
"602",3899
"603",3909
"604",3918
"605",3921
"606",3946
"607",3957
"608",3960
"609",3963
"610",3964
"611",3965
"612",3966
"613",3967
"614",3968
"615",3969
"616",3982
"617",3993
"618",3995
"619",4001
"620",4002
"621",4004
"622",4005
"623",4006
"624",4012
"625",4013
"626",4020
"627",4021
"628",4023
"629",4024
"630",4037
"631",4038
"632",4039
"633",4040
"634",4059
"635",4063
"636",4092
"637",4095
"638",4112
"639",4118
"640",4124
"641",4125
"642",4135
"643",4147
"644",4153
"645",4162
"646",4169
"647",4170
"648",4171
"649",4172
"650",4178
"651",4184
"652",4207
"653",4208
"654",4211
